Input,State,(1)SelectionSort,(2)InsertionSort,(3)BinaryInsertionSort,(4)RadixSort,(5)BubbleSort,(6)ShakerSort,(7)ShellShort,(8)HeapSort,(9)MergeSort,(10)QuickSort
 Random,1000,0.002,0.001,0.001,0,0.004,0.004,0,0.001,0.001,0
 Random,5000,0.05,0.03,0.026,0.001,0.075,0.069,0.001,0.003,0.006,0.001
 Random,10000,0.192,0.099,0.068,0.002,0.441,0.303,0.004,0.006,0.009,0.002
 Random,50000,4.485,2.596,1.953,0.009,12.697,9.389,0.02,0.055,0.059,0.011
 Random,100000,19.107,12.268,9.95,0.016,48.729,39.818,0.046,0.076,0.129,0.023
 Random,250000,131.785,67.565,51.29,0.047,310.496,254.296,0.123,0.275,0.484,0.051
Sorted,1000,0.002,0,0,0,0.003,0.003,0,0.001,0.001,0
Sorted,5000,0.049,0,0.001,0.001,0.052,0.087,0.001,0.002,0.005,0.001
Sorted,10000,0.178,0,0.006,0.003,0.205,0.2,0.001,0.005,0.007,0.001
Sorted,50000,4.736,0,0.035,0.014,5.344,5.282,0.003,0.049,0.044,0.01
Sorted,100000,18.854,0,0.117,0.022,21.046,21.034,0.009,0.072,0.086,0.01
Sorted,250000,129.34,0.002,0.175,0.052,138.046,136.794,0.037,0.182,0.287,0.022
Reversed,1000,0.002,0.003,0.002,0,0.004,0.004,0,0.001,0.001,0.001
Reversed,5000,0.058,0.062,0.037,0.001,0.076,0.081,0.001,0.003,0.003,0
Reversed,10000,0.16,0.216,0.136,0.002,0.311,0.3,0.002,0.005,0.01,0.001
Reversed,50000,4.283,5.589,3.852,0.019,9.1,7.987,0.006,0.09,0.053,0.008
Reversed,100000,17.904,24.915,16.036,0.027,33.874,38.319,0.018,0.13,0.21,0.008
Reversed,250000,109.562,148.82,92.63,0.049,227.61,210.396,0.034,0.219,0.294,0.017
NearlySort,1000,0.002,0,0,0,0.003,0.003,0,0,0.001,0
NearlySort,5000,0.051,0.015,0.015,0.001,0.056,0.055,0.001,0.002,0.005,0.001
NearlySort,10000,0.18,0.089,0.043,0.002,0.235,0.231,0.001,0.007,0.008,0.002
NearlySort,50000,4.609,1.703,1.692,0.009,6.466,6.509,0.008,0.034,0.042,0.006
NearlySort,100000,19.596,8.595,5.164,0.017,26.967,28.204,0.016,0.092,0.076,0.011
NearlySort,250000,113.7,55.983,30.451,0.052,170.543,171.99,0.038,0.192,0.307,0.044
